schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	contrast_family	contrast_name	eligibility_status	terminal_status	message
mito_fraction_contrast_status_v1	inhibitory	309	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Female__e2	Inh ALCAM TRPM3	AD_vs_NCI	AD_vs_NCI__Female__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2
mito_fraction_contrast_status_v1	inhibitory	310	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Female__e33	Inh ALCAM TRPM3	AD_vs_NCI	AD_vs_NCI__Female__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	311	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Female__e4	Inh ALCAM TRPM3	AD_vs_NCI	AD_vs_NCI__Female__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	312	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Male__e2	Inh ALCAM TRPM3	AD_vs_NCI	AD_vs_NCI__Male__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Male__e2,NCI__Male__e2
mito_fraction_contrast_status_v1	inhibitory	313	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Male__e33	Inh ALCAM TRPM3	AD_vs_NCI	AD_vs_NCI__Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	314	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Male__e4	Inh ALCAM TRPM3	AD_vs_NCI	AD_vs_NCI__Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	315	inhibitory::Inh.ALCAM.TRPM3::AD_effect_Female_minus_Male__e2	Inh ALCAM TRPM3	sex_interaction	AD_effect_Female_minus_Male__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2,AD__Male__e2,NCI__Male__e2
mito_fraction_contrast_status_v1	inhibitory	316	inhibitory::Inh.ALCAM.TRPM3::AD_effect_Female_minus_Male__e33	Inh ALCAM TRPM3	sex_interaction	AD_effect_Female_minus_Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	317	inhibitory::Inh.ALCAM.TRPM3::AD_effect_Female_minus_Male__e4	Inh ALCAM TRPM3	sex_interaction	AD_effect_Female_minus_Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	318	inhibitory::Inh.ALCAM.TRPM3::AD_effect_e2_minus_e33__Female	Inh ALCAM TRPM3	apoe_interaction	AD_effect_e2_minus_e33__Female	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2
mito_fraction_contrast_status_v1	inhibitory	319	inhibitory::Inh.ALCAM.TRPM3::AD_effect_e4_minus_e33__Female	Inh ALCAM TRPM3	apoe_interaction	AD_effect_e4_minus_e33__Female	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	320	inhibitory::Inh.ALCAM.TRPM3::AD_effect_e2_minus_e33__Male	Inh ALCAM TRPM3	apoe_interaction	AD_effect_e2_minus_e33__Male	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Male__e2,NCI__Male__e2
mito_fraction_contrast_status_v1	inhibitory	321	inhibitory::Inh.ALCAM.TRPM3::AD_effect_e4_minus_e33__Male	Inh ALCAM TRPM3	apoe_interaction	AD_effect_e4_minus_e33__Male	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	322	inhibitory::Inh.ALCAM.TRPM3::AD_effect_heterogeneity_across_sex_APOE	Inh ALCAM TRPM3	global_heterogeneity	AD_effect_heterogeneity_across_sex_APOE	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2,NCI__Male__e2,AD__Male__e2
mito_fraction_contrast_status_v1	inhibitory	323	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Female__e2	Inh CUX2 MSR1	AD_vs_NCI	AD_vs_NCI__Female__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2
mito_fraction_contrast_status_v1	inhibitory	324	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Female__e33	Inh CUX2 MSR1	AD_vs_NCI	AD_vs_NCI__Female__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	325	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Female__e4	Inh CUX2 MSR1	AD_vs_NCI	AD_vs_NCI__Female__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	326	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Male__e2	Inh CUX2 MSR1	AD_vs_NCI	AD_vs_NCI__Male__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Male__e2
mito_fraction_contrast_status_v1	inhibitory	327	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Male__e33	Inh CUX2 MSR1	AD_vs_NCI	AD_vs_NCI__Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	328	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Male__e4	Inh CUX2 MSR1	AD_vs_NCI	AD_vs_NCI__Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	329	inhibitory::Inh.CUX2.MSR1::AD_effect_Female_minus_Male__e2	Inh CUX2 MSR1	sex_interaction	AD_effect_Female_minus_Male__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2,NCI__Male__e2
mito_fraction_contrast_status_v1	inhibitory	330	inhibitory::Inh.CUX2.MSR1::AD_effect_Female_minus_Male__e33	Inh CUX2 MSR1	sex_interaction	AD_effect_Female_minus_Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	331	inhibitory::Inh.CUX2.MSR1::AD_effect_Female_minus_Male__e4	Inh CUX2 MSR1	sex_interaction	AD_effect_Female_minus_Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	332	inhibitory::Inh.CUX2.MSR1::AD_effect_e2_minus_e33__Female	Inh CUX2 MSR1	apoe_interaction	AD_effect_e2_minus_e33__Female	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2
mito_fraction_contrast_status_v1	inhibitory	333	inhibitory::Inh.CUX2.MSR1::AD_effect_e4_minus_e33__Female	Inh CUX2 MSR1	apoe_interaction	AD_effect_e4_minus_e33__Female	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	334	inhibitory::Inh.CUX2.MSR1::AD_effect_e2_minus_e33__Male	Inh CUX2 MSR1	apoe_interaction	AD_effect_e2_minus_e33__Male	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Male__e2
mito_fraction_contrast_status_v1	inhibitory	335	inhibitory::Inh.CUX2.MSR1::AD_effect_e4_minus_e33__Male	Inh CUX2 MSR1	apoe_interaction	AD_effect_e4_minus_e33__Male	eligible	validated_complete	
mito_fraction_contrast_status_v1	inhibitory	336	inhibitory::Inh.CUX2.MSR1::AD_effect_heterogeneity_across_sex_APOE	Inh CUX2 MSR1	global_heterogeneity	AD_effect_heterogeneity_across_sex_APOE	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2,NCI__Male__e2
mito_fraction_contrast_status_v1	inhibitory	337	inhibitory::Inh.ENOX2.SPHKAP::AD_vs_NCI__Female__e2	Inh ENOX2 SPHKAP	AD_vs_NCI	AD_vs_NCI__Female__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2
mito_fraction_contrast_status_v1	inhibitory	338	inhibitory::Inh.ENOX2.SPHKAP::AD_vs_NCI__Female__e33	Inh ENOX2 SPHKAP	AD_vs_NCI	AD_vs_NCI__Female__e33	eligible	validated_complete	
