schema_version	rds_id	check	passed	observed	expected
yu_mast_de_checks_v2	excitatory_set2	expected_fine_cell_types	TRUE	4	4
yu_mast_de_checks_v2	excitatory_set2	six_yu_contrasts_per_cell_type	TRUE	24	24
yu_mast_de_checks_v2	excitatory_set2	six_yu_contrast_labels	TRUE	6	6
yu_mast_de_checks_v2	excitatory_set2	one_status_per_manifest_row	TRUE	24	24
yu_mast_de_checks_v2	excitatory_set2	all_rows_have_terminal_outcome	TRUE	validated_complete	validated_complete;not_estimable;failed
yu_mast_de_checks_v2	excitatory_set2	all_estimable_rows_completed	TRUE	24	24
yu_mast_de_checks_v2	excitatory_set2	no_failed_contrasts	TRUE	0	0
yu_mast_de_checks_v2	excitatory_set2	result_keys_unique	TRUE	0	0
yu_mast_de_checks_v2	excitatory_set2	result_population_is_all_cohort_nuclei	TRUE	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei
yu_mast_de_checks_v2	excitatory_set2	p_values_in_range	TRUE	0	0
yu_mast_de_checks_v2	excitatory_set2	fdr_in_range	TRUE	0	0
yu_mast_de_checks_v2	excitatory_set2	detection_threshold_respected	TRUE	0	0
yu_mast_de_checks_v2	excitatory_set2	paper_deg_rule_reproduced	TRUE	0	0
yu_mast_de_checks_v2	excitatory_set2	normalized_rds_unchanged	TRUE	b89e4a33574fc42b3f2339155dae3b536619eb7a680755ceae2c23062d05eca6	b89e4a33574fc42b3f2339155dae3b536619eb7a680755ceae2c23062d05eca6
