schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_family	contrast_name	analysis_population	manifest_modeling_status	terminal_status	genes_returned	paper_degs	cells_ad	cells_nci	donors_ad	donors_nci	message
yu_mast_contrast_status_v2	inhibitory	1	inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Female__e2	Inh ALCAM TRPM3	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	10495	74	132	451	8	15	
yu_mast_contrast_status_v2	inhibitory	2	inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Female__e33	Inh ALCAM TRPM3	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	10624	60	939	1309	36	45	
yu_mast_contrast_status_v2	inhibitory	3	inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Female__e4	Inh ALCAM TRPM3	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	10315	7	605	329	24	11	
yu_mast_contrast_status_v2	inhibitory	4	inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Male__e2	Inh ALCAM TRPM3	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	10209	108	155	106	7	5	
yu_mast_contrast_status_v2	inhibitory	5	inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Male__e33	Inh ALCAM TRPM3	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	10138	97	712	1792	27	51	
yu_mast_contrast_status_v2	inhibitory	6	inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Male__e4	Inh ALCAM TRPM3	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	10023	60	683	270	26	10	
yu_mast_contrast_status_v2	inhibitory	7	inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Female__e2	Inh CUX2 MSR1	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	7644	19	142	967	8	16	
yu_mast_contrast_status_v2	inhibitory	8	inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Female__e33	Inh CUX2 MSR1	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	7390	30	1801	3417	35	45	
yu_mast_contrast_status_v2	inhibitory	9	inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Female__e4	Inh CUX2 MSR1	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	7565	177	1105	666	26	11	
yu_mast_contrast_status_v2	inhibitory	10	inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Male__e2	Inh CUX2 MSR1	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	8202	2399	342	322	7	6	
