schema_version	check_id	severity	status	expected	observed	detail
genetic_support_csf_outcome_summary_v1	source_schema	blocking	pass	phase19_endophenotype_gwas_qtl_extension_v1	phase19_endophenotype_gwas_qtl_extension_v1	Validated endophenotype schema.
genetic_support_csf_outcome_summary_v1	nuclear_gene_trait_screens	blocking	pass	57	57	Nineteen genes by three traits.
genetic_support_csf_outcome_summary_v1	unique_nuclear_genes	blocking	pass	19	19	Nuclear candidate count.
genetic_support_csf_outcome_summary_v1	csf_traits	blocking	pass	3	3	CSF amyloid-beta 42, total tau, and p-tau181.
genetic_support_csf_outcome_summary_v1	positive_gate_decisions	blocking	pass	3	3	One positive decision per CSF trait.
genetic_support_csf_outcome_summary_v1	no_qualifying_signal_decisions	blocking	pass	54	54	Eighteen per CSF trait.
genetic_support_csf_outcome_summary_v1	per_trait_positive_counts	blocking	pass	1|1|1	1|1|1	Same positive count in each tile.
genetic_support_csf_outcome_summary_v1	per_trait_no_signal_counts	blocking	pass	18|18|18	18|18|18	Same no-signal count in each tile.
genetic_support_csf_outcome_summary_v1	positive_gene_identity	blocking	pass	APOE	APOE	All positive decisions are APOE.
genetic_support_csf_outcome_summary_v1	newly_supported_unique_genes	blocking	pass	0	0	APOE was supported previously.
genetic_support_csf_outcome_summary_v1	pvalue_geometry_columns	blocking	pass	absent	absent	No P value or -log10(P) enters plotted data.
genetic_support_csf_outcome_summary_v1	mechanism_boundary_visible	blocking	pass	present	present	The figure explains that the tests do not establish a mechanism.
genetic_support_csf_outcome_summary_v1	plain_language_visible	blocking	pass	present	present	Shared-signal analysis is explained without specialist shorthand.
genetic_support_csf_outcome_summary_v1	internal_phase_label_visible	blocking	pass	absent	absent	Artwork remains reusable.
genetic_support_csf_outcome_summary_v1	png_dimensions	blocking	pass	5580x2115	5580x2115	Exact slide-native raster dimensions at 450 DPI.
genetic_support_csf_outcome_summary_v1	png_dpi	blocking	pass	450	450	PNG metadata resolution rounded to the requested DPI.
genetic_support_csf_outcome_summary_v1	pdf_signature	blocking	pass	%PDF-	%PDF-	Vector PDF has the expected file signature.
genetic_support_csf_outcome_summary_v1	svg_vector_root	blocking	pass	present	present	SVG contains a vector root element.
genetic_support_csf_outcome_summary_v1	svg_editable_text	blocking	pass	present	present	SVG preserves labels as editable text.
